# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_LCDM_model
# start_datetime = 2023-03-15 14:30:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift.json
# init = config/init.json
# random
#   seed = 3973528815 (Default)
# output
#   file = output/shift-LCDM/chain/2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
-126.999,0.797007,0.000244141,2,3,0,206.871,0.698873,0.0489003,0.247738,4.15e-05,8.49672e-05,0.703277,0.698873,0.0489003,0.247738,8.49672e-05,0.703277,0.0579552,0.546623,1089.99,0,0,3.1936,3.1936,0.0333757,300.608,1.73938,0.0238841,-0.962354,-0.0013215,0.00160406
-126.999,0,9.94574,0,1,1,127.645,0.698873,0.0489003,0.247738,4.15e-05,8.49672e-05,0.703277,0.698873,0.0489003,0.247738,8.49672e-05,0.703277,0.0579552,0.546623,1089.99,0,0,3.1936,3.1936,0.0333757,300.608,1.73938,0.0238841,-0.962354,-0.0013215,0.00160406
-126.999,0,1.50669,0,1,1,127.653,0.698873,0.0489003,0.247738,4.15e-05,8.49672e-05,0.703277,0.698873,0.0489003,0.247738,8.49672e-05,0.703277,0.0579552,0.546623,1089.99,0,0,3.1936,3.1936,0.0333757,300.608,1.73938,0.0238841,-0.962354,-0.0013215,0.00160406
-126.999,0,0.13961,0,1,1,131.972,0.698873,0.0489003,0.247738,4.15e-05,8.49672e-05,0.703277,0.698873,0.0489003,0.247738,8.49672e-05,0.703277,0.0579552,0.546623,1089.99,0,0,3.1936,3.1936,0.0333757,300.608,1.73938,0.0238841,-0.962354,-0.0013215,0.00160406
-126.999,0,0.0104296,0,1,1,128.657,0.698873,0.0489003,0.247738,4.15e-05,8.49672e-05,0.703277,0.698873,0.0489003,0.247738,8.49672e-05,0.703277,0.0579552,0.546623,1089.99,0,0,3.1936,3.1936,0.0333757,300.608,1.73938,0.0238841,-0.962354,-0.0013215,0.00160406
-126.999,2.98536e-244,0.000712384,1,1,0,129.7,0.698873,0.0489003,0.247738,4.15e-05,8.49672e-05,0.703277,0.698873,0.0489003,0.247738,8.49672e-05,0.703277,0.0579552,0.546623,1089.99,0,0,3.1936,3.1936,0.0333757,300.608,1.73938,0.0238841,-0.962354,-0.0013215,0.00160406
-127.059,0.998121,4.75358e-05,2,3,0,127.939,0.698906,0.048874,0.247703,4.15e-05,8.49593e-05,0.703338,0.698906,0.048874,0.247703,8.49593e-05,0.703338,0.057975,0.546634,1090,0,0,3.19387,3.19387,0.0333795,300.599,1.73934,0.0238734,-0.971117,-0.00135736,0.00159345
-106.769,0.999173,7.18706e-05,3,7,0,127.864,0.698341,0.0487884,0.24725,4.15e-05,8.50968e-05,0.703876,0.698341,0.0487884,0.24725,8.50968e-05,0.703876,0.0581254,0.546713,1090.07,0,0,3.19615,3.19615,0.033391,300.71,1.73901,0.0237931,-0.859828,-0.00169223,0.00151309
-72.5985,1,0.000119878,3,7,0,109.227,0.698,0.0484497,0.245476,4.15e-05,8.518e-05,0.705989,0.698,0.0484497,0.245476,8.518e-05,0.705989,0.058481,0.546898,1090.22,0,0,3.20525,3.20525,0.0334657,300.893,1.73773,0.0236049,-0.676876,-0.00297325,0.00132488
-52.3282,1,0.000213419,2,3,0,72.7839,0.697602,0.0480099,0.244477,4.15e-05,8.52771e-05,0.707428,0.697602,0.0480099,0.244477,8.52771e-05,0.707428,0.0589428,0.547134,1090.47,0,0,3.2115,3.2115,0.033526,300.938,1.73685,0.023364,-0.632067,-0.00385215,0.00108395
