# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_LCDM_model
# start_datetime = 2023-03-15 14:53:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift-mock-LCDM.json
# init = config/init.json
# random
#   seed = 3974919433 (Default)
# output
#   file = output/shift-LCDM_mock/chain/4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
-1.62167,0.937934,0.00012207,3,11,0,1.98053,0.700369,0.0500531,0.250701,4.15e-05,8.46045e-05,0.699162,0.700369,0.0500531,0.250701,8.46045e-05,0.699162,0.0567367,0.545956,1089.36,0,0,3.17618,3.17618,0.0332162,300.403,1.74185,0.0245519,-0.127991,0.000456196,5.19001e-05
-1.62167,0,12.8504,0,1,1,3.48184,0.700369,0.0500531,0.250701,4.15e-05,8.46045e-05,0.699162,0.700369,0.0500531,0.250701,8.46045e-05,0.699162,0.0567367,0.545956,1089.36,0,0,3.17618,3.17618,0.0332162,300.403,1.74185,0.0245519,-0.127991,0.000456196,5.19001e-05
-1.62167,0,2.1003,0,1,1,4.13063,0.700369,0.0500531,0.250701,4.15e-05,8.46045e-05,0.699162,0.700369,0.0500531,0.250701,8.46045e-05,0.699162,0.0567367,0.545956,1089.36,0,0,3.17618,3.17618,0.0332162,300.403,1.74185,0.0245519,-0.127991,0.000456196,5.19001e-05
-1.62167,0,0.203239,0,1,1,2.30566,0.700369,0.0500531,0.250701,4.15e-05,8.46045e-05,0.699162,0.700369,0.0500531,0.250701,8.46045e-05,0.699162,0.0567367,0.545956,1089.36,0,0,3.17618,3.17618,0.0332162,300.403,1.74185,0.0245519,-0.127991,0.000456196,5.19001e-05
-1.62167,0,0.0156004,0,1,1,2.26283,0.700369,0.0500531,0.250701,4.15e-05,8.46045e-05,0.699162,0.700369,0.0500531,0.250701,8.46045e-05,0.699162,0.0567367,0.545956,1089.36,0,0,3.17618,3.17618,0.0332162,300.403,1.74185,0.0245519,-0.127991,0.000456196,5.19001e-05
-1.62167,0,0.0010844,0,1,1,3.20238,0.700369,0.0500531,0.250701,4.15e-05,8.46045e-05,0.699162,0.700369,0.0500531,0.250701,8.46045e-05,0.699162,0.0567367,0.545956,1089.36,0,0,3.17618,3.17618,0.0332162,300.403,1.74185,0.0245519,-0.127991,0.000456196,5.19001e-05
-7.44597,0.853745,7.31844e-05,3,7,0,8.72508,0.700305,0.0497229,0.251126,4.15e-05,8.46201e-05,0.699066,0.700305,0.0497229,0.251126,8.46201e-05,0.699066,0.0570353,0.546123,1089.57,0,0,3.17578,3.17578,0.0332311,300.232,1.74191,0.0243855,-0.299307,0.00051623,-0.000114541
-2.69252,1,7.11032e-05,3,7,0,7.7854,0.700342,0.0504719,0.250582,4.15e-05,8.46111e-05,0.698862,0.700342,0.0504719,0.250582,8.46111e-05,0.698862,0.0563759,0.54575,1089.11,0,0,3.17491,3.17491,0.0331839,300.576,1.74202,0.0247554,0.0447743,0.000627007,0.000255415
-1.83275,0.999101,0.000118895,2,7,0,3.32537,0.700276,0.0503769,0.250483,4.15e-05,8.46271e-05,0.699055,0.700276,0.0503769,0.250483,8.46271e-05,0.699055,0.0564664,0.545802,1089.17,0,0,3.17572,3.17572,0.0331937,300.564,1.74191,0.0247041,0.0327828,0.00051247,0.000204147
-0.512481,0.53329,0.000211059,2,7,0,4.53522,0.70017,0.0499862,0.250137,4.15e-05,8.46528e-05,0.699792,0.70017,0.0499862,0.250137,8.46528e-05,0.699792,0.0568203,0.546003,1089.38,0,0,3.17882,3.17882,0.0332349,300.485,1.74147,0.0245051,-0.0465306,7.93623e-05,5.10965e-06
