# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_model
# start_datetime = 2023-03-15 14:02:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift.json
# init = config/init.json
# random
#   seed = 3971867242 (Default)
# output
#   file = output/shift/chain/4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
-15.3715,1,0.000244141,1,1,0,326.063,0.700657,0.043748,0.252049,4.15e-05,8.45351e-05,0.400924,0.0628434,0.548917,1093.44,0.700657,0.043748,0.252049,8.45351e-05,0.400924,1093.44,1,0.32291,0,1,22562.1,3.23752,0.0337186,301.643,1.7608,0.0214768,0.0731696,0.0200993,-0.00080323
-15.3715,0,14.3855,0,1,1,16.8867,0.700657,0.043748,0.252049,4.15e-05,8.45351e-05,0.400924,0.0628434,0.548917,1093.44,0.700657,0.043748,0.252049,8.45351e-05,0.400924,1093.44,1,0.32291,0,1,22562.1,3.23752,0.0337186,301.643,1.7608,0.0214768,0.0731696,0.0200993,-0.00080323
-15.3715,0,2.43117,0,1,1,16.2498,0.700657,0.043748,0.252049,4.15e-05,8.45351e-05,0.400924,0.0628434,0.548917,1093.44,0.700657,0.043748,0.252049,8.45351e-05,0.400924,1093.44,1,0.32291,0,1,22562.1,3.23752,0.0337186,301.643,1.7608,0.0214768,0.0731696,0.0200993,-0.00080323
-15.3715,0,0.239791,0,1,1,18.2577,0.700657,0.043748,0.252049,4.15e-05,8.45351e-05,0.400924,0.0628434,0.548917,1093.44,0.700657,0.043748,0.252049,8.45351e-05,0.400924,1093.44,1,0.32291,0,1,22562.1,3.23752,0.0337186,301.643,1.7608,0.0214768,0.0731696,0.0200993,-0.00080323
-15.3715,0,0.0186273,0,1,1,16.4354,0.700657,0.043748,0.252049,4.15e-05,8.45351e-05,0.400924,0.0628434,0.548917,1093.44,0.700657,0.043748,0.252049,8.45351e-05,0.400924,1093.44,1,0.32291,0,1,22562.1,3.23752,0.0337186,301.643,1.7608,0.0214768,0.0731696,0.0200993,-0.00080323
-15.3715,0,0.00130482,0,1,1,17.6945,0.700657,0.043748,0.252049,4.15e-05,8.45351e-05,0.400924,0.0628434,0.548917,1093.44,0.700657,0.043748,0.252049,8.45351e-05,0.400924,1093.44,1,0.32291,0,1,22562.1,3.23752,0.0337186,301.643,1.7608,0.0214768,0.0731696,0.0200993,-0.00080323
-11.1034,1,8.85015e-05,2,3,0,15.2734,0.700716,0.0440513,0.252071,4.15e-05,8.45208e-05,0.400803,0.062508,0.548777,1093.22,0.700716,0.0440513,0.252071,8.45208e-05,0.400803,1093.22,1,0.32333,0,1,22563.8,3.23607,0.0336929,301.737,1.76098,0.0216293,0.167446,0.020277,-0.00065066
-10.4415,0.993928,0.000135987,4,23,0,11.8836,0.700944,0.0444076,0.253481,4.15e-05,8.4466e-05,0.400146,0.0620974,0.548602,1093.01,0.700944,0.0444076,0.253481,8.4466e-05,0.400146,1093.01,1,0.325612,0,1,22606.4,3.22826,0.033625,301.617,1.76196,0.0218184,0.0470504,0.0212599,-0.000461553
-6.6102,0.985043,0.000224493,6,75,0,10.4932,0.706205,0.0438516,0.246379,4.15e-05,8.32122e-05,0.402989,0.0619867,0.548555,1092.8,0.706205,0.0438516,0.246379,8.32122e-05,0.402989,1092.8,1,0.31575,0,1,22336.1,3.26278,0.0339681,301.763,1.75776,0.0218699,0.193308,0.0170608,-0.000410122
-6.10906,0.430303,0.000382385,2,7,1,7.77646,0.706673,0.0439401,0.246493,4.15e-05,8.31019e-05,0.402914,0.0618299,0.548487,1092.71,0.706673,0.0439401,0.246493,8.31019e-05,0.402914,1092.71,1,0.316009,0,1,22335.7,3.26188,0.0339645,301.711,1.75788,0.0219431,0.141436,0.0171849,-0.000336904
