# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = shift_model
# start_datetime = 2023-03-15 15:14:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 2500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data/shift-mock.json
# init = config/init.json
# random
#   seed = 3976159898 (Default)
# output
#   file = output/shift_mock/chain/1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
-0.659623,0.17706,0.000488281,1,3,1,2.4634,0.700372,0.0500576,0.249341,4.15e-05,8.46038e-05,0.399584,0.0567324,0.545953,1089.3,0.700372,0.0500576,0.249341,8.46038e-05,0.399584,1089.3,1,0.327565,0,1,22530.1,3.22145,0.0332546,304.333,1.76269,0.0245543,0.0518119,-0.000324545,5.43258e-05
-0.659623,0,3.22188,0,1,1,0.869235,0.700372,0.0500576,0.249341,4.15e-05,8.46038e-05,0.399584,0.0567324,0.545953,1089.3,0.700372,0.0500576,0.249341,8.46038e-05,0.399584,1089.3,1,0.327565,0,1,22530.1,3.22145,0.0332546,304.333,1.76269,0.0245543,0.0518119,-0.000324545,5.43258e-05
-0.659623,0,0.349477,0,1,1,5.41157,0.700372,0.0500576,0.249341,4.15e-05,8.46038e-05,0.399584,0.0567324,0.545953,1089.3,0.700372,0.0500576,0.249341,8.46038e-05,0.399584,1089.3,1,0.327565,0,1,22530.1,3.22145,0.0332546,304.333,1.76269,0.0245543,0.0518119,-0.000324545,5.43258e-05
-0.659623,0,0.0267594,0,1,1,1.65807,0.700372,0.0500576,0.249341,4.15e-05,8.46038e-05,0.399584,0.0567324,0.545953,1089.3,0.700372,0.0500576,0.249341,8.46038e-05,0.399584,1089.3,1,0.327565,0,1,22530.1,3.22145,0.0332546,304.333,1.76269,0.0245543,0.0518119,-0.000324545,5.43258e-05
-0.659623,0,0.00177423,0,1,1,1.35133,0.700372,0.0500576,0.249341,4.15e-05,8.46038e-05,0.399584,0.0567324,0.545953,1089.3,0.700372,0.0500576,0.249341,8.46038e-05,0.399584,1089.3,1,0.327565,0,1,22530.1,3.22145,0.0332546,304.333,1.76269,0.0245543,0.0518119,-0.000324545,5.43258e-05
-0.446838,0.999962,0.000112201,7,243,0,1.71615,0.699317,0.0500067,0.250627,4.15e-05,8.48593e-05,0.399123,0.0569093,0.546053,1089.44,0.699317,0.0500067,0.250627,8.48593e-05,0.399123,1089.44,1,0.329166,0,1,22578.2,3.21603,0.0332064,304.262,1.76335,0.0244555,-0.0195596,0.000333871,-4.45076e-05
-0.90245,0.997156,0.000152175,7,207,0,2.03919,0.693171,0.0509052,0.258156,4.15e-05,8.63708e-05,0.395968,0.0569026,0.546049,1089.55,0.693171,0.0509052,0.258156,8.63708e-05,0.395968,1089.55,1,0.34015,0,1,22869.4,3.17981,0.0328296,304.288,1.76776,0.0244592,0.00619267,0.00474231,-4.0761e-05
-0.907683,0.989518,0.000233858,4,15,0,0.967621,0.69309,0.0506859,0.257455,4.15e-05,8.6391e-05,0.396313,0.0571027,0.546161,1089.65,0.69309,0.0506859,0.257455,8.6391e-05,0.396313,1089.65,1,0.338947,0,1,22847.4,3.18367,0.0328655,304.325,1.76727,0.0243482,0.0431282,0.00425457,-0.000151815
-1.35677,0.10476,0.000382746,2,5,0,4.06815,0.693673,0.0506381,0.257439,4.15e-05,8.62459e-05,0.396337,0.0570702,0.546143,1089.64,0.693673,0.0506381,0.257439,8.62459e-05,0.396337,1089.64,1,0.338863,0,1,22840.9,3.18396,0.0328787,304.231,1.76725,0.0243662,-0.0504811,0.00423355,-0.000133849
-1.00723,0.999722,4.05564e-05,4,31,0,1.66098,0.693628,0.0506551,0.257304,4.15e-05,8.6257e-05,0.396381,0.0570611,0.546138,1089.63,0.693628,0.0506551,0.257304,8.6257e-05,0.396381,1089.63,1,0.338708,0,1,22837.5,3.18446,0.0328803,304.263,1.76718,0.0243712,-0.018414,0.00416906,-0.000128816
